Farm_ID,State,District,Crop,Season,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Method,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct
SF10116,Tamil Nadu,Raichur,Rice,Rabi,0.58,566.9,21.6,51.7,8.2,5.41,17.8,141.3,71.4,133.8,Drip,221.4,7.55,0.94,0.5,0.29,22660,40401,6571,-33830,849,0.342,37.1
SF10117,Andhra Pradesh,Warangal,Maize,Kharif,13.77,850.2,31.2,57.4,8.3,5.8,29.8,109.1,57.8,140.6,Flood,129.9,2.9,0.92,1.43,19.69,21209,705327,417605,-287722,8861,2.222,55.4
SF10118,Andhra Pradesh,Nalgonda,Rice,Zaid,13.6,327.7,26.9,42.8,10.0,7.34,15.7,118.0,32.6,59.6,Sprinkler,235.3,6.63,0.67,1.54,20.94,20763,955996,434777,-521219,20384,1.027,31.4
SF10119,Karnataka,Nashik,Pulses,Rabi,11.2,346.3,23.4,32.4,7.2,6.91,25.0,129.4,34.7,104.6,Sprinkler,129.0,6.4,0.81,1.12,12.54,69488,668822,871380,202558,3842,3.264,32.6
SF10120,Karnataka,Erode,Groundnut,Kharif,13.76,968.7,27.3,71.1,5.7,6.88,27.0,96.8,62.5,128.4,Sprinkler,232.2,1.55,0.88,1.91,26.28,40712,964006,1069911,105905,7261,3.619,74.9
SF10121,Gujarat,Rajkot,Groundnut,Kharif,11.46,619.1,24.5,83.3,6.6,6.71,30.4,84.1,46.5,113.3,Rainfed,184.4,4.84,0.84,2.07,23.72,65653,811732,1557289,745557,2898,8.185,60.2
SF10122,Maharashtra,Erode,Cotton,Kharif,3.26,896.1,34.8,69.5,7.2,5.55,,63.3,59.8,144.8,Sprinkler,164.3,4.67,0.98,0.3,0.98,57631,193353,56478,-136875,2439,0.402,51.3
SF10123,Madhya Pradesh,Warangal,Rice,Rabi,4.65,227.6,24.9,55.9,6.8,7.8,26.3,97.5,96.6,97.0,Flood,162.3,3.82,0.95,0.66,3.07,26404,294129,81060,-213069,8874,0.346,36.6
SF10124,Punjab,Indore,Pulses,Kharif,2.54,499.7,29.6,76.4,7.2,7.74,30.7,112.7,42.4,125.0,Drip,201.3,4.02,0.97,0.4,1.02,73000,182833,74460,-108373,895,1.14,51.3
SF10125,Madhya Pradesh,Rajkot,Pulses,Kharif,14.46,763.3,32.5,77.0,6.3,7.23,27.2,158.4,51.1,56.6,Rainfed,206.5,4.14,0.97,0.78,11.28,79479,1012756,896523,-116233,2927,3.854,65.4
SF10126,Maharashtra,Nalgonda,Chilli,Rabi,8.45,575.8,24.3,57.8,7.5,7.02,18.5,115.2,67.5,125.0,Sprinkler,197.3,4.51,0.93,2.34,19.77,90018,532885,1779656,1246771,5842,3.384,57.1
SF10127,Telangana,Guntur,Wheat,Rabi,3.75,99.6,27.2,56.7,6.8,6.08,26.1,160.8,66.3,46.8,Rainfed,101.6,4.45,0.97,1.6,6.0,23135,192862,138810,-54052,1165,5.15,41.7
SF10128,Tamil Nadu,Erode,Wheat,Rabi,11.28,281.9,23.4,69.3,7.4,6.62,27.2,154.3,28.4,95.3,Rainfed,154.9,5.89,0.68,2.24,25.27,27337,702245,690806,-11439,3065,8.245,31.0
SF10129,Maharashtra,Raichur,Maize,Rabi,10.33,606.2,21.7,46.6,9.5,6.73,33.2,121.8,60.8,92.8,Drip,166.9,3.5,0.84,4.89,50.51,19769,685674,998532,312858,5130,9.846,48.8
SF10130,Maharashtra,Nalgonda,Pulses,Rabi,3.95,296.0,23.2,68.3,8.3,6.93,17.0,77.0,76.7,68.9,Sprinkler,114.9,9.35,0.74,1.01,3.99,86219,272305,344014,71709,1545,2.583,22.2
SF10131,Tamil Nadu,Nalgonda,Wheat,Kharif,4.55,759.9,26.9,78.0,8.1,6.17,32.2,115.5,63.7,55.6,Flood,127.0,5.57,0.91,2.73,12.42,23075,292455,286592,-5863,3187,3.897,47.0
SF10132,Karnataka,Guntur,Cotton,Kharif,6.85,1044.5,26.3,73.7,7.1,7.12,31.5,153.5,70.0,88.9,Sprinkler,178.3,4.87,0.96,1.86,12.74,67026,398694,853911,455217,5482,2.324,46.2
SF10133,Telangana,Warangal,Sugarcane,Kharif,3.83,1158.2,27.2,68.4,7.0,7.4,32.2,84.3,51.2,95.2,Sprinkler,252.4,5.08,0.82,29.47,112.87,3123,263380,352493,89113,6337,17.811,53.9
SF10134,Telangana,Indore,Chilli,Rabi,5.69,765.3,22.2,56.6,7.4,6.42,21.5,139.4,72.6,128.8,Flood,227.4,5.88,0.87,1.88,10.7,117774,375375,1260182,884807,5136,2.083,37.9
SF10135,Tamil Nadu,Ludhiana,Cotton,Rabi,8.33,537.6,20.5,63.2,7.2,7.31,30.0,126.6,82.2,98.2,Drip,201.8,3.16,0.7,1.11,9.25,62535,460863,578449,117586,5878,1.574,41.0
SF10136,Telangana,Erode,Cotton,Rabi,4.29,812.8,28.0,56.6,8.7,7.65,27.6,126.0,43.4,158.3,Rainfed,272.7,5.64,0.97,0.51,2.19,71950,281826,157570,-124256,1849,1.184,57.3
SF10137,Madhya Pradesh,Nashik,Groundnut,Rabi,5.33,582.1,22.4,44.7,8.0,5.2,19.5,133.4,63.0,125.4,Flood,139.1,4.68,0.94,0.3,1.6,52984,278482,84774,-193708,3109,0.515,36.6
SF10138,Maharashtra,Krishna,Wheat,Kharif,6.37,672.2,25.3,66.5,8.6,6.73,37.6,115.8,60.6,108.7,Drip,137.3,6.29,0.91,4.38,27.9,23998,417483,669544,252061,3243,8.603,46.9
SF10139,Telangana,Ludhiana,Wheat,Rabi,13.3,752.6,26.9,45.1,8.4,5.74,24.4,154.8,81.9,91.4,Drip,124.1,4.74,0.76,1.49,19.82,22320,912967,442382,-470585,6473,3.062,30.3
SF10140,Punjab,Erode,Wheat,Rabi,9.85,586.7,28.3,56.9,7.8,6.96,21.9,140.5,70.9,147.9,Flood,147.6,3.67,0.78,3.16,31.13,21067,752982,655816,-97166,7671,4.058,44.3
SF10141,Tamil Nadu,Warangal,Groundnut,Kharif,8.76,443.7,28.8,77.7,8.4,8.4,32.3,139.5,47.3,96.8,Drip,281.3,2.15,0.99,0.3,2.63,59496,557065,156474,-400591,4202,0.626,66.0
SF10142,Madhya Pradesh,Nashik,Wheat,Kharif,11.36,695.0,25.8,67.0,5.6,7.19,31.1,134.4,69.3,108.5,Rainfed,245.2,6.07,0.89,2.17,24.65,19736,649416,486492,-162924,3334,7.394,38.8
SF10143,Andhra Pradesh,Rajkot,Wheat,Kharif,5.98,873.4,28.0,75.4,6.5,6.82,21.3,122.8,55.8,55.4,Rainfed,161.4,4.38,0.71,2.54,15.19,27576,333731,418879,85148,1807,8.406,49.4
SF10144,Tamil Nadu,Nalgonda,Rice,Rabi,2.07,336.3,24.0,48.2,10.1,6.71,17.9,124.5,59.7,166.8,Sprinkler,147.6,2.53,0.74,3.98,8.24,20254,146114,166893,20779,2491,3.308,36.9
SF10145,Gujarat,Ludhiana,Chilli,Rabi,14.69,159.9,22.3,47.4,9.2,6.06,18.8,192.2,58.9,131.2,Flood,178.5,6.0,0.91,1.39,20.42,107756,1018941,2200378,1181437,12655,1.614,34.2
SF10146,Karnataka,Krishna,Wheat,Kharif,13.57,922.3,28.0,87.4,6.0,6.07,27.3,111.3,54.5,104.8,Flood,184.9,6.25,0.74,1.98,26.87,20998,864572,564216,-300356,9147,2.938,48.1
SF10147,Telangana,Erode,Cotton,Rabi,11.52,537.2,26.2,63.9,7.0,7.63,22.4,121.3,44.7,124.1,Flood,159.7,9.77,0.72,0.66,7.6,65554,894553,498210,-396343,10714,0.709,35.4
SF10148,Madhya Pradesh,Krishna,Chilli,Kharif,1.07,880.4,33.3,71.7,8.2,7.84,40.9,146.0,71.8,109.1,Flood,118.5,5.35,0.87,0.47,0.5,89501,71809,44750,-27059,742,0.674,47.4
SF10149,Maharashtra,Krishna,Groundnut,Rabi,2.86,108.0,27.9,78.3,9.4,6.97,23.2,153.2,85.1,100.1,Flood,166.9,4.18,0.78,1.49,4.26,59116,188358,251834,63476,1704,2.5,42.0
SF10150,Telangana,Erode,Groundnut,Kharif,13.86,878.5,29.8,81.4,6.3,7.65,30.1,83.4,84.4,152.7,Flood,204.1,3.38,0.94,0.72,9.98,60346,1025521,602253,-423268,9248,1.079,70.8
